 Orientação a Objetos Completo - Classes e Métodos
Professor: Lira da Hashtag

Título da Aula	Professor	Duração/Páginas	Visualizações	Último Acesso	Suporte
   1. Instalando o PyCharm	Lira da Hashtag	06:01 min	0	---	
   2. Classes e Objetos	Lira da Hashtag	10:01 min	0	---	
   3. O que é uma Classe no nosso código	Lira da Hashtag	07:25 min	0	---	
   4. Conceitos Importantes sobre Programação Orientada a Objetos	Lira da Hashtag	12:15 min	0	---	
   5. Criando nossa 1ª Classe	Lira da Hashtag	11:02 min	0	---	
   6. O que é o self das Classes	Lira da Hashtag	04:30 min	0	---	
   7. Criando Métodos dentro das Classes	Lira da Hashtag	05:23 min	0	---	
   8. Parâmetros nos Métodos das Classes	Lira da Hashtag	04:57 min	0	---	
   9. Parâmetros no init da Classe	Lira da Hashtag	08:02 min	0	---	
   10. Atributos de Classe	Lira da Hashtag	07:14 min	0	---	
   11. Aplicação - Criando um Sistema de Conta Corrente	Lira da Hashtag	07:45 min	0	---	
   12. Criando Métodos para a nossa Classe	Lira da Hashtag	12:34 min	0	---	
   13. Métodos Auxiliares Regra de Métodos Simples e Direto ao Ponto	Lira da Hashtag	10:22 min	0	---	
   14. Underline e Métodos Não Públicos	Lira da Hashtag	05:44 min	0	---	
   15. Reforço de Organização e Padrões de Classe	Lira da Hashtag	03:39 min	0	---	
   16. Modificando o init de uma Classe já existente	Lira da Hashtag	07:45 min	0	---	
   17. Métodos Estáticos e Modificando Classe da Melhor Forma	Lira da Hashtag	18:55 min	0	---	
   18. Usando objetos e instâncias como Parâmetro	Lira da Hashtag	11:14 min	0	---	
   19. Atributos não Públicos	Lira da Hashtag	12:21 min	0	---	
   20. Docstring em Classes	Lira da Hashtag	08:03 min	0	---	
   21. Criando outra Classe e Relação entre Classes	Lira da Hashtag	17:14 min	0	---	
   22. Atributos de Data e Aleatórios	Lira da Hashtag	11:15 min	0	---	
   23. Regra do Python - Underline antes dos Atributos	Lira da Hashtag	19:21 min	0	---	
   24. Listar Métodos e Atributos de uma Classe	Lira da Hashtag	02:59 min	0	---	
   25. Separando Programa e Arquivo de Classes e Importando nossas Classes	Lira da Hashtag	06:06 min	0	---	
   26. Criando uma nova Classe - Agências	Lira da Hashtag	12:45 min	0	---	
   27. Criando SubClasses	Lira da Hashtag	08:47 min	0	---	
   28. init em SubClasses e Herança	Lira da Hashtag	09:49 min	0	---	
   29. Finalizando o init nas outras SubClasses	Lira da Hashtag	07:28 min	0	---	
   30. Métodos Específicos de uma SubClasse	Lira da Hashtag	06:42 min	0	---	
   31. Polimorfismo - Personalizando um Método em uma SubClasse	Lira da Hashtag	12:36 min	0	---	
   32. Cuidado ao importar Arquivos de Classes	Lira da Hashtag	06:58 min	0	---	
 Projeto 4 - Construindo um Site Completo do Zero com Flask
Professor: Lira da Hashtag

Título da Aula	Professor	Duração/Páginas	Visualizações	Último Acesso	Suporte
   1. Projeto 4 - Desenvolvimento Web - Criando um Site do Zero	Lira da Hashtag	07:35 min	0	---	
   2. Como funcionam os sites	Lira da Hashtag	07:30 min	0	---	
   3. Configurações do Projeto e Instalação do Flask	Lira da Hashtag	05:35 min	0	---	
   4. Criando seu 1º Site com Flask	Lira da Hashtag	14:47 min	0	---	
